SMILES,P(Act),Unnamed: 2
Clc1ccc([C@]23CCN4CC[C@]2(C4)C3)cc1Cl,6.367831321,
COC(=O)[C@@H]1[C@H](c2ccc(Cl)cc2)CC2CC[C@H]1N2C,6.377268035,
Clc1ccc(Oc2ncccc2C2CCNCC2)c(Cl)c1,6.384049948,
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C(N)=O)cc21,6.387216143,
CNC[C@@H](O)[C@H](c1ccccc1)N(C)c1cccc(OC)c1,6.397940009,
CNC[C@H]1Cc2ccccc2[C@@H]1Oc1cccc2ccccc12,6.397940009,
CC(C)c1nnnn1C[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,6.399996913,
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,6.400116928,
CCN[C@H]1CC[C@@H](c2c[nH]c3ccc(NC(=N)c4cccs4)cc32)CC1,6.420216403,
COC(=O)C(c1ccccc1)C1CCCCN1,6.420216403,
Clc1cccc(N2CCN(CCCN3CCC(Cc4ccccc4)CC3)CC2)c1,6.420216403,
Cc1cc2ncnn2cc1-c1ccc2c(c1)CN1CCC2(c2ccc(Cl)c(Cl)c2)CC1,6.428291168,
CNC[C@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,6.42945706,
CS(=O)(=O)N(Cc1ccc2ccccc2c1)[C@H]1CCNC1,6.431798276,
CCCCN(CC)C(=O)C1(c2ccccc2)CC1CN,6.443697499,
[C-]#[N+]c1cccc(-c2ccc3c(c2)CN2CCC3(c3ccc(Cl)cc3)CC2)c1,6.449160395,
COc1ccc(Cc2cc([C@@H]3C4CCC(C[C@@H]3c3ccc(Cl)cc3)N4C)on2)cc1,6.459670525,
Clc1ccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)cc1,6.459670525,
Fc1ccc(C23CCN(CC2)Cc2cc(-c4ccc(C(F)(F)F)nn4)ccc23)cc1Cl,6.462684727,
CN1C[C@@H]2CCC[C@]2(c2ccc3ccccc3c2)C1,6.470653073,
O[C@H](CCN1CCC(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccccc1,6.48148606,
Cc1cccc(F)c1Oc1cccc(F)c1OC1CCNC1,6.484126156,
OC(CCN1CC=C(Cc2ccccc2)CC1)c1cc2ccccc2s1,6.485452247,
CN(C)C[C@H](c1cccc(Cl)c1)C1(O)CCCCC1,6.493494968,
CCOCC1CNCCN1c1ccc2[nH]ncc2c1,6.499996932,
COCC1CNCCN1c1ccc2[nH]ncc2c1,6.499996932,
c1cc2[nH]ncc2cc1N1CCNC[C@H]1CC1CCOCC1,6.499996932,
CN[C@@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,6.508638306,
COc1ccc(CC(C)(C)NC[C@H](O)COc2cccc3[nH]c(=O)[nH]c23)cc1,6.522444668,
CNC[C@@H](O)[C@H](c1ccccc1)N(C)c1ccccc1OC,6.522878745,
N#Cc1cccc(CC(c2ccccc2)N2CCNCC2)c1,6.522878745,
O=C(C1CCOCC1)N(Cc1cccc(Cl)c1Cl)[C@H]1CCNC1,6.522878745,
C[C@@](CCc1ccc(-c2ccccc2)cc1)(C(=O)NO)S(C)(=O)=O,6.530177984,
CNCc1cc(C#CCCN2CCOCC2)ccc1Oc1ccc(SC)cc1,6.537602002,
CNC[C@H](O)CCN1c2ccccc2N(c2ccc(F)cc2)S1(=O)=O,6.543633967,
CNCc1cnccc1Oc1ccc(Cl)cc1OC,6.549750892,
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,6.55129368,
CN(C)Cc1cc(OCCCO)ccc1Sc1ccc(Br)cc1N,6.554395797,
COc1cccc(F)c1Oc1ncccc1C1CCNCC1,6.559090918,
NCC1(c2ccc(Cl)c(Cl)c2)CCCCC1,6.563837353,
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C(=O)N(C)C)cc21,6.568636236,
O[C@H](CCc1ccccc1)CN1CCC(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,6.56944123,
CNCC1(c2cccc(Cl)c2)CCCCC1,6.57024772,
FC(F)Oc1ccc(-c2ccc3c(c2)CN2CCC3(c3ccc(Cl)cc3)CC2)nn1,6.577574324,
